target_id	latest_stage_observed	has_any_generated_output	has_prothunt_output	has_af3_inputs	has_af3_results	has_filtered_af3_models	prothunt_output_dir_count	af3_input_json_count	af3_template_cif_count	af3_result_dir_count	filtered_child_dir_count	filtered_child_file_count	filtered_cif_file_count	filtered_pdb_file_count	filtered_json_file_count	prothunt_roots	prothunt_conf_gen_results_child_dir_count	prothunt_conf_gen_results_child_file_count	prothunt_dataset_root_child_dir_count	prothunt_dataset_root_child_file_count	overlaps_1000_train	overlaps_1000_test	overlaps_1000_all	overlaps_1000_trained_ids	first_seen_mtime_iso	latest_seen_mtime_iso	tierb_has_sequence	tierb_pass_vhvl80	tierb_fail_reason	max_vhvl_identity_to_1000_all	nearest_vhvl_target_1000_all	max_vh_identity_to_1000_all	nearest_vh_target_1000_all	max_vl_identity_to_1000_all	nearest_vl_target_1000_all
1g7l	af3_results	True	True	True	True		1	100	100	100						prothunt_conf_gen_results	0	2097			False	False	False	False	2026-05-08T21:33:14-0400	2026-06-24T20:13:16-0400	True	False	max_vhvl_identity_ge_0.80	0.986301	1g7j	0.982143	1g7j	0.990654	1a2y
2fed	filtered_af3_models	True	False	True	True	True		100	100	100	100	0	0	0	0						False	False	False	False	2026-05-28T08:13:43-0400	2026-06-24T15:42:21-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1ots	1.000000	1ots	1.000000	1ots
2fee	filtered_af3_models	True	False	True	True	True		100	100	100	100	0	0	0	0						False	False	False	False	2026-05-28T08:19:47-0400	2026-06-24T15:43:05-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1ots	1.000000	1ots	1.000000	1ots
2fjg	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-25T16:00:49-0400	2026-06-25T23:34:57-0400	True	False	max_vhvl_identity_ge_0.80	0.933921	2r0k	0.883333	5x8l	1.000000	2r0k
2hfe	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T08:29:58-0400	2026-05-28T08:34:59-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c
2hvj	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T08:40:44-0400	2026-06-25T17:02:18-0400	True	False	max_vhvl_identity_ge_0.80	0.995556	1k4c	0.991525	1k4c	1.000000	1k4c
2i5y	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T08:50:56-0400	2026-05-28T08:56:46-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1rzj	1.000000	1rzj	1.000000	1rzj
2i60	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-23T11:46:39-0400	2026-06-24T23:28:00-0400	True	False	max_vhvl_identity_ge_0.80	0.995781	1rzj	0.992188	1rzj	1.000000	1rzj
2itc	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T08:56:49-0400	2026-06-25T17:15:11-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c
2itd	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T09:02:20-0400	2026-06-25T17:05:04-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c
2ny2	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T09:17:16-0400	2026-06-25T17:32:00-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1rzj	1.000000	1rzj	1.000000	1rzj
2ny5	af3_results	True	False	True	True			57	57	100											False	False	False	False	2026-05-28T09:23:10-0400	2026-06-25T20:37:51-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1rzj	1.000000	1rzj	1.000000	1rzj
2osl	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T09:38:06-0400	2026-05-28T09:49:01-0400	True	False	max_vhvl_identity_ge_0.80	0.894737	3bky	0.868852	3bky	0.952830	4qnp
2p7t	af3_results	True	False	True	True			100	100	25											False	False	False	False	2026-06-25T17:56:34-0400	2026-06-25T23:58:32-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c
2p8p	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T09:49:06-0400	2026-05-28T09:57:45-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1tjg	1.000000	1tjg	1.000000	1tjg
2r9h	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T10:05:40-0400	2026-05-28T10:12:50-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1ots	1.000000	1ots	1.000000	1ots
3b2u	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-23T11:18:22-0400	2026-06-25T02:12:21-0400	True	False	max_vhvl_identity_ge_0.80	0.850877	9mpw	0.859504	8zhk	0.934579	7lf1
3fb8	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T11:18:21-0400	2026-05-28T11:23:54-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c
3idj	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-22T04:20:18-0400	2026-06-25T07:38:46-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1tjg	1.000000	1tjg	1.000000	1tjg
3j6u	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-20T14:53:44-0400	2026-06-25T10:45:55-0400	True	False	max_vhvl_identity_ge_0.80	0.818584	7k9z	0.784000	4xak	0.906542	7qf1
3ngb	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T11:29:05-0400	2026-05-28T11:37:04-0400	True	False	max_vhvl_identity_ge_0.80	0.910714	4olu	0.848000	4olu	0.990099	4s1q
3or6	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T12:10:25-0400	2026-06-26T00:37:08-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c
3rif	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-22T06:35:53-0400	2026-06-25T13:58:03-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	3rhw	1.000000	3rhw	1.000000	3rhw
3skj	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T12:34:43-0400	2026-05-28T12:40:35-0400	True	False	max_vhvl_identity_ge_0.80	0.817021	9o54	0.812500	3hae	0.925234	8u1s
3ulv	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T12:46:19-0400	2026-06-27T18:37:23-0400	True	False	max_vhvl_identity_ge_0.80	0.853448	7lm9	0.809917	3hmx	0.916667	6zdg
3v4u	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-22T04:22:01-0400	2026-06-25T16:38:20-0400	True	False	max_vhvl_identity_ge_0.80	0.995614	3uyr	0.991453	3uyr	1.000000	3uyr
3vg9	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-22T06:45:44-0400	2026-06-25T19:56:52-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	3vga	1.000000	3vga	1.000000	3vga
3wlw	af3_results	True	False	True	True			100	100	25											False	False	False	False	2026-06-22T06:39:07-0400	2026-06-25T20:38:12-0400	True	False	max_vhvl_identity_ge_0.80	0.837004	6d2p	0.852459	9c0u	0.981982	7czw
4dgv	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T13:22:02-0400	2026-05-28T13:31:19-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	4dgy	1.000000	4dgy	1.000000	4dgy
4ffz	filtered_af3_models	True	False	True	True	True		100	100	100	100	0	0	0	0						False	False	False	False	2026-05-28T13:38:17-0400	2026-06-24T15:32:37-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	4ffy	1.000000	4ffy	1.000000	4ffy
4jo3	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T13:51:59-0400	2026-05-28T13:57:56-0400	True	False	max_vhvl_identity_ge_0.80	0.808333	8gzz	0.784615	8gzz	0.836364	8gzz
4lcu	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T14:10:41-0400	2026-06-26T08:16:51-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c
4nrx	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T14:16:11-0400	2026-05-28T14:21:40-0400	True	False	max_vhvl_identity_ge_0.80	0.831224	7lm9	0.800000	9cpu	0.935185	7ek0
4xpa	filtered_af3_models	True	False	True	True	True		100	100	100	100	0	0	0	0						False	False	False	False	2026-05-28T15:09:06-0400	2026-06-24T15:42:49-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	4xp6	1.000000	4xp6	1.000000	4xp6
4yxk	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T15:15:30-0400	2026-05-28T15:22:45-0400	True	False	max_vhvl_identity_ge_0.80	0.814159	1k4c	0.819672	1fbi	0.906542	1k4c
5ebl	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T15:55:25-0400	2026-06-26T12:20:50-0400	True	False	max_vhvl_identity_ge_0.80	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c
5ggv	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T16:17:02-0400	2026-05-28T16:26:07-0400	True	False	max_vhvl_identity_ge_0.80	0.905172	6zdg	0.904762	7tc9	0.953271	9jcy
