number	stem	png	svg	title	sources	note
1	01_readout_condition_heatmap_mrr	01_readout_condition_heatmap_mrr.png	01_readout_condition_heatmap_mrr.svg	Readout x condition heatmap	region_readout_condition_summary.tsv; region_readout_random_rollup.tsv	MRR summarized across readouts and conformer subset conditions.
2	02_global_endpoint_condition_dotplot	02_global_endpoint_condition_dotplot.png	02_global_endpoint_condition_dotplot.svg	Global endpoint dot plot	condition_summary.tsv; random_control_rollup.tsv	Full ensemble, subset selectors, first-K controls, and random-control means under global H/L pooling.
3	03_cdr_readout_delta_vs_global	03_cdr_readout_delta_vs_global.png	03_cdr_readout_delta_vs_global.svg	CDR-aware readout improvement	region_readout_delta_vs_global.tsv	Full-ensemble readout gains relative to global H/L mean pooling.
4	04_first_positive_rank_distribution	04_first_positive_rank_distribution.png	04_first_positive_rank_distribution.svg	First positive rank distribution	region_readout_retrieval_results.tsv	Distribution of first same-antigen neighbor ranks for full-ensemble readouts.
5	05_target_condition_failure_heatmap	05_target_condition_failure_heatmap.png	05_target_condition_failure_heatmap.svg	Target x condition failure heatmap	region_readout_retrieval_results.tsv	Target-level reciprocal-rank patterns across global and CDR-aware readouts.
6	06_selector_vs_random_paired_scatter	06_selector_vs_random_paired_scatter.png	06_selector_vs_random_paired_scatter.svg	Selector versus random paired plot	selector_vs_random_by_target.tsv	Per-target selector reciprocal rank compared with same-budget random-control mean.
7	07_cosine_preservation_vs_rr_change	07_cosine_preservation_vs_rr_change.png	07_cosine_preservation_vs_rr_change.svg	Cosine preservation vs retrieval change	target_failure_features.tsv	Near-identical global vectors can still produce different nearest-neighbor ranks.
8	08_pca_readout_embeddings	08_pca_readout_embeddings.png	08_pca_readout_embeddings.svg	PCA of readout embeddings	region_readout_retrieval_results.tsv; Phase 1.4 MCA tensor shards	PCA projections of full-ensemble global, H-CDR3, and CDR mean+std vectors.
9	09_rank_transition_global_to_hcdr3	09_rank_transition_global_to_hcdr3.png	09_rank_transition_global_to_hcdr3.svg	Rank transition plot	region_readout_retrieval_results.tsv	Target-level rank changes when switching from global H/L pooling to H-CDR3 pooling.
10	10_pipeline_result_schematic	10_pipeline_result_schematic.png	10_pipeline_result_schematic.svg	Compact pipeline/result schematic	condition_summary.tsv; region_readout_condition_summary.tsv	Minimal schematic tying conformer ensembles, MCA tensors, pooling, and retrieval MRR.
