target_id	latest_stage_observed	has_any_generated_output	has_prothunt_output	has_af3_inputs	has_af3_results	has_filtered_af3_models	prothunt_output_dir_count	af3_input_json_count	af3_template_cif_count	af3_result_dir_count	filtered_child_dir_count	filtered_child_file_count	filtered_cif_file_count	filtered_pdb_file_count	filtered_json_file_count	prothunt_roots	prothunt_conf_gen_results_child_dir_count	prothunt_conf_gen_results_child_file_count	prothunt_dataset_root_child_dir_count	prothunt_dataset_root_child_file_count	overlaps_1000_train	overlaps_1000_test	overlaps_1000_all	overlaps_1000_trained_ids	first_seen_mtime_iso	latest_seen_mtime_iso	tierb_has_sequence	max_vhvl_identity_to_1000_all	nearest_vhvl_target_1000_all	max_vh_identity_to_1000_all	nearest_vh_target_1000_all	max_vl_identity_to_1000_all	nearest_vl_target_1000_all	tierb_pass_vhvl85	tierb_fail_reason_vhvl85
1g7l	af3_results	True	True	True	True		1	100	100	100						prothunt_conf_gen_results	0	2097			False	False	False	False	2026-05-08T21:33:14-0400	2026-06-24T20:13:16-0400	True	0.986301	1g7j	0.982143	1g7j	0.990654	1a2y	False	max_vhvl_identity_ge_0.85
2fed	filtered_af3_models	True	False	True	True	True		100	100	100	100	0	0	0	0						False	False	False	False	2026-05-28T08:13:43-0400	2026-06-24T15:42:21-0400	True	1.000000	1ots	1.000000	1ots	1.000000	1ots	False	max_vhvl_identity_ge_0.85
2fee	filtered_af3_models	True	False	True	True	True		100	100	100	100	0	0	0	0						False	False	False	False	2026-05-28T08:19:47-0400	2026-06-24T15:43:05-0400	True	1.000000	1ots	1.000000	1ots	1.000000	1ots	False	max_vhvl_identity_ge_0.85
2fjg	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-25T16:00:49-0400	2026-06-25T23:34:57-0400	True	0.933921	2r0k	0.883333	5x8l	1.000000	2r0k	False	max_vhvl_identity_ge_0.85
2hfe	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T08:29:58-0400	2026-05-28T08:34:59-0400	True	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c	False	max_vhvl_identity_ge_0.85
2hvj	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T08:40:44-0400	2026-06-25T17:02:18-0400	True	0.995556	1k4c	0.991525	1k4c	1.000000	1k4c	False	max_vhvl_identity_ge_0.85
2i5y	af3_results	True	False	False	True					100											False	False	False	False	2026-05-28T08:50:56-0400	2026-05-28T08:56:46-0400	True	1.000000	1rzj	1.000000	1rzj	1.000000	1rzj	False	max_vhvl_identity_ge_0.85
2i60	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-06-23T11:46:39-0400	2026-06-24T23:28:00-0400	True	0.995781	1rzj	0.992188	1rzj	1.000000	1rzj	False	max_vhvl_identity_ge_0.85
2itc	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T08:56:49-0400	2026-06-25T17:15:11-0400	True	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c	False	max_vhvl_identity_ge_0.85
2itd	af3_results	True	False	True	True			100	100	100											False	False	False	False	2026-05-28T09:02:20-0400	2026-06-25T17:05:04-0400	True	1.000000	1k4c	1.000000	1k4c	1.000000	1k4c	False	max_vhvl_identity_ge_0.85
